STATE,DEATHS_13AUG2020,DEATHS_PER_1M_13AUG2020,TESTS_13AUG2020,CASES_13AUG2020,CASES_PER_1M_13AUG2020,FLU_DEATHS_ANNUAL,IMMUNITY,POPULATION,TESTS_PER_1M_13AUG2020,LN_TESTS_PER_1M_13AUG32020,LN_DEATHS_PER_1M_13AUG32020,LN_CASES_PER_1M_13AUG32020,POP_DENSITY,LN_POP_DENSITY,IMMUNITY_DENSITY,DATE_FIRST_CASE,DATE_FIRST_DEATH,DAYS_SINCE_FIRST_CASE,DAYS_SINCE_FIRST_DEATH,Long_term_care_facilities_with_ known_cases,Cases_long_term_care_facilities,Deaths_long_term_care_facilities,Long_term_care_facility_cases_share_total_state_cases,Long_term_care_facility_deaths_share_total_state_deaths,Status_Medicaid_Expansion_Decision,PCT_Employer,PCT_NonGroup,PCT_Medicaid,PCT_Medicare,PCT_Military,PCT_Uninsured,Number_Uninsured,TRUMP_SHARE,TRAVEL_RESTRICT,STAY_AT_HOME_DATE,GDP_PER_CAPITA,PCT_OVER65,CHINA_TRADE,LN_GDP_PER_CAPITA,DELAY_SAH_1ST_CONFIRMED,NH_TRANSFER_POLICY,TRANSFER_IMMUNITY
Alabama,1890.00,385.50,798501.00,105557.00,21528.30,763.00,1,4902723.735,162868.8548,12.00070058,5.954541193,9.977123628,95,4.553876892,4.553876892,3/13/2020,3/26/2020,154,141,,"6,810",448,0.06,0.24,Not Adopted,0.469639,0.05416,0.195321,0.158831,0.020334,0.101714,483400,0.62,0,4/4/2020,37261,16.9,2.7,10.53,22,0,0
Alaska,27.00,36.90,294053.00,3963.00,5417.30,43.00,0,731707.3171,401872.4333,12.90388999,3.608211551,8.597352815,1.3,0.262364,0,3/13/2020,3/25/2020,154,142,,,,,,Adopted,0.481289,0.036663,0.213177,0.09428,0.054222,0.120369,85400,0.51,1,3/28/2020,63971,11.8,3.5,11.07,15,0,0
Arizona,4383.00,602.20,1284786.00,190794.00,26212.60,655.00,1,7278312.853,176522.5027,12.08120364,6.400589616,10.17399549,60,4.094344562,4.094344562,3/4/2020,3/21/2020,163,146,441,,,,,Adopted,0.444624,0.054478,0.223905,0.155921,0.014926,0.106147,743500,0.49,1,3/31/2020,38590,17.5,1.3,10.56,27,0,0
Arkansas,582.00,192.90,583480.00,51766.00,17153.40,528.00,0,3017107.309,193390.5361,12.17246693,5.26217192,9.749951684,57,4.043051268,0,3/12/2020,3/25/2020,155,142,195,"2,386",161,0.05,0.31,Adopted,0.41875,0.055587,0.272687,0.156044,0.014092,0.082839,242000,0.61,0,,36368,17,2.4,10.5,154,0,0
California,10999.00,278.40,9445493.00,602721.00,15254.00,4701.00,0,39507902.3,239078.5754,12.38454754,5.629058928,9.632597043,251,5.525452939,0,3/4/2020,3/12/2020,163,155,"1,306","44,006","4,486",0.08,0.42,Adopted,0.473513,0.072321,0.263108,0.109437,0.010025,0.071597,2774100,0.32,0,3/19/2020,58619,14.3,6.4,10.98,15,1,0
Colorado,1882.00,326.80,609824.00,52219.00,9067.80,470.00,0,5758873.929,105892.9241,11.57018371,5.789348363,9.112484956,52,3.951243719,0,3/6/2020,3/14/2020,161,153,152,"4,987",757,0.1,0.4,Adopted,0.521138,0.071739,0.184908,0.12462,0.021058,0.076538,425200,0.43,0,3/26/2020,52795,14.2,1,10.87,20,0,0
Connecticut,4450.00,1248.10,925327.00,50782.00,14243.50,485.00,1,3565419.438,259528.2312,12.46662077,7.129377674,9.564055941,741,6.608000625,6.608000625,3/8/2020,3/19/2020,159,148,306,"10,154","3,233",0.2,0.73,Adopted,0.539067,0.054411,0.206315,0.139429,0.007382,0.053396,185100,0.41,0,3/23/2020,64511,17.2,1.6,11.07,15,1,1
Delaware,593.00,609.00,204629.00,15967.00,16397.20,110.00,0,973727.422,210150.1872,12.25557773,6.411818268,9.704865868,485,6.184148891,0,3/11/2020,3/26/2020,156,141,34,"1,166",362,0.08,0.62,Adopted,0.499181,0.046987,0.213844,0.170235,0.012211,0.057541,54000,0.42,1,3/24/2020,63664,18.7,1.2,11.06,13,0,0
District of Columbia,594.00,841.70,229649.00,13024.00,18454.20,60.00,0,705714.6252,325413.4062,12.69285167,6.735423656,9.823047266,11011,9.306650052,0,3/8/2020,3/20/2020,159,147,22,"1,044",169,0.08,0.29,Adopted,0.52949,0.070671,0.276694,0.083288,0.008133,0.031723,21200,0.04,0,3/30/2020,160472,21.1,1,11.99,22,0,0
Florida,8917.00,415.20,4128584.00,557137.00,25940.20,1907.00,0,21476396.92,192238.2053,12.16649053,6.028760332,10.16354917,378,5.934894196,0,3/4/2020,3/11/2020,163,156,"1,400","16,050","3,805",0.03,0.43,Not Adopted,0.400105,0.096502,0.180374,0.17389,0.017602,0.131528,2741500,0.49,1,4/2/2020,39543,20.5,1.4,10.59,29,0,0
